kW,t1,t2,V
2.863,67.0,68.0,409
4.05,67.0,68.0,405
0.41400000000000003,67.0,68.0,414
0.0,67.0,68.0,414
0.0,66.0,68.0,416
0.0,66.0,68.0,414
5.265,66.0,68.0,405
5.642,66.0,68.0,403
0.8300000000000001,66.0,68.0,415
0.0,66.0,68.0,414
6.464,64.0,68.0,404
5.239,64.0,66.0,403
6.4,64.0,66.0,400
4.04,66.0,66.0,404
0.0,66.0,66.0,412
0.0,66.0,66.0,413
4.05,66.0,66.0,405
5.226,66.0,68.0,402
4.848,66.0,68.0,404
5.213,66.0,68.0,401
7.581,66.0,68.0,399
6.384,66.0,68.0,399
7.543,66.0,68.0,397
8.69,66.0,68.0,395
9.8,66.0,68.0,392
0.0,66.0,68.0,410
0.0,66.0,68.0,411
1.6320000000000001,66.0,68.0,408
1.6320000000000001,66.0,68.0,408
2.035,66.0,68.0,407
0.0,66.0,68.0,411
4.824,66.0,68.0,402
5.985,66.0,68.0,399
7.128,66.0,68.0,396
8.295,66.0,68.0,395
1.218,66.0,68.0,406
9.039,66.0,68.0,393
9.384,66.0,68.0,391
5.572,66.0,68.0,398
0.0,66.0,68.0,409
2.424,66.0,68.0,404
0.8140000000000001,66.0,68.0,407
2.442,66.0,68.0,407
0.0,66.0,68.0,410
4.8,66.0,68.0,400
6.352,66.0,68.0,397
0.0,66.0,68.0,409
3.636,66.0,68.0,404
5.187,66.0,68.0,399
6.336,66.0,68.0,396
7.88,66.0,68.0,394
0.40800000000000003,66.0,68.0,408
0.8200000000000001,66.0,68.0,410
4.4,66.0,68.0,400
5.174,66.0,68.0,398
3.6270000000000002,64.0,68.0,403
0.8200000000000001,64.0,68.0,410
7.146,64.0,68.0,397
5.955,66.0,68.0,397
6.732,66.0,68.0,396
7.86,66.0,68.0,393
8.993,66.0,68.0,391
10.114,66.0,68.0,389
2.0100000000000002,66.0,68.0,402
0.40700000000000003,68.0,68.0,407
3.216,68.0,68.0,402
3.609,68.0,68.0,401
0.40800000000000003,66.0,68.0,408
5.1610000000000005,66.0,68.0,397
6.336,66.0,68.0,396
7.486,66.0,68.0,394
8.232,66.0,64.0,392
4.764,66.0,64.0,397
7.4670000000000005,66.0,64.0,393
9.700000000000001,66.0,64.0,388
10.422,66.0,64.0,386
6.288,66.0,64.0,393
1.212,66.0,68.0,404
0.0,66.0,68.0,406
0.40700000000000003,66.0,68.0,407
4.378,66.0,68.0,398
5.925,66.0,68.0,395
3.192,66.0,68.0,399
0.81,66.0,68.0,405
0.0,66.0,68.0,407
5.174,66.0,68.0,398
4.764,66.0,68.0,397
5.925,66.0,68.0,395
7.448,66.0,68.0,392
0.0,66.0,68.0,406
2.015,66.0,68.0,403
4.776,66.0,68.0,398
0.8180000000000001,66.0,68.0,409
5.53,66.0,68.0,395
3.208,66.0,68.0,401
5.91,66.0,68.0,394
7.074,66.0,68.0,393
7.82,66.0,68.0,391
9.312,66.0,68.0,388
10.062,66.0,68.0,387
0.808,66.0,68.0,404
0.0,66.0,68.0,405
0.0,66.0,68.0,406
1.612,68.0,68.0,403
4.752,68.0,69.0,396
0.0,68.0,69.0,406
5.925,68.0,69.0,395
7.074,68.0,69.0,393
7.84,68.0,69.0,392
3.184,64.0,69.0,398
8.924,64.0,69.0,388
9.675,64.0,69.0,387
10.78,68.0,69.0,385
1.203,68.0,68.0,401
0.0,68.0,68.0,404
0.0,66.0,68.0,405
0.0,66.0,68.0,406
0.0,66.0,68.0,406
0.0,66.0,68.0,406
0.0,66.0,68.0,406
0.0,66.0,68.0,406
0.0,66.0,68.0,406
0.0,66.0,69.0,406
0.0,66.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,406
0.0,68.0,69.0,410
0.0,68.0,69.0,411
0.0,68.0,69.0,411
0.0,68.0,69.0,410
0.0,68.0,69.0,410
0.0,68.0,69.0,410
0.0,68.0,69.0,410
0.0,66.0,69.0,409
0.0,66.0,69.0,410
0.0,66.0,69.0,410
0.0,66.0,69.0,409
0.40900000000000003,66.0,66.0,409
0.40800000000000003,66.0,66.0,408
0.40800000000000003,68.0,66.0,408
0.40800000000000003,68.0,69.0,408
0.8160000000000001,68.0,69.0,408
0.8160000000000001,66.0,69.0,408
0.8160000000000001,66.0,68.0,408
0.0,66.0,68.0,410
0.40900000000000003,66.0,68.0,409
0.8160000000000001,66.0,69.0,408
0.8160000000000001,66.0,69.0,408
0.8160000000000001,68.0,69.0,408
3.232,68.0,69.0,404
4.4,68.0,69.0,400
0.0,68.0,69.0,409
4.824,68.0,69.0,402
4.788,68.0,69.0,399
6.336,68.0,69.0,396
7.486,68.0,69.0,394
0.8180000000000001,68.0,69.0,409
6.732,66.0,69.0,396
5.1610000000000005,66.0,69.0,397
5.5440000000000005,66.0,69.0,396
6.766,66.0,69.0,398
5.94,66.0,69.0,396
3.98,66.0,69.0,398
7.074,66.0,69.0,393
7.4670000000000005,66.0,69.0,393
8.97,66.0,69.0,390
9.700000000000001,68.0,69.0,388
0.0,68.0,69.0,406
0.0,68.0,69.0,406
2.807,68.0,69.0,401
6.288,68.0,69.0,393
0.8160000000000001,68.0,69.0,408
6.698,68.0,69.0,394
6.698,68.0,68.0,394
7.82,68.0,68.0,391
8.558,68.0,68.0,389
9.675,68.0,69.0,387
10.036,68.0,69.0,386
10.395,68.0,69.0,385
2.394,68.0,69.0,399
0.806,68.0,69.0,403
0.0,68.0,69.0,405
0.0,68.0,69.0,405
0.405,68.0,69.0,405
0.806,69.0,69.0,403
0.806,69.0,69.0,403
0.808,69.0,69.0,404
0.808,68.0,69.0,404
0.808,68.0,69.0,404
0.0,68.0,69.0,406
0.81,68.0,69.0,405
0.808,68.0,69.0,404
1.212,68.0,69.0,404
3.2,68.0,69.0,400
0.405,68.0,69.0,405
4.752,68.0,69.0,396
5.91,68.0,69.0,394
7.038,68.0,69.0,391
0.8160000000000001,68.0,69.0,408
2.406,68.0,69.0,401
5.5440000000000005,68.0,68.0,396
5.516,68.0,68.0,394
1.608,68.0,68.0,402
3.96,68.0,66.0,396
5.8950000000000005,68.0,66.0,393
7.038,68.0,66.0,391
8.19,68.0,69.0,390
9.288,68.0,69.0,387
10.01,69.0,69.0,385
0.0,69.0,69.0,404
0.0,69.0,69.0,404
1.604,69.0,69.0,401
5.88,69.0,69.0,392
0.0,69.0,69.0,403
7.8,68.0,69.0,390
7.391,68.0,69.0,389
8.148,68.0,69.0,388
8.901,68.0,69.0,387
7.8,68.0,69.0,390
9.24,68.0,69.0,385
10.341000000000001,68.0,69.0,383
3.95,68.0,69.0,395
5.865,68.0,69.0,391
8.947000000000001,68.0,69.0,389
1.215,68.0,69.0,405
5.502,68.0,69.0,393
6.63,68.0,69.0,390
0.806,68.0,69.0,403
1.6,68.0,69.0,400
6.24,66.0,69.0,390
6.984,66.0,69.0,388
8.127,66.0,69.0,387
0.0,66.0,69.0,402
7.429,66.0,69.0,391
6.256,66.0,69.0,391
0.0,69.0,69.0,402
1.596,69.0,69.0,399
0.404,69.0,69.0,404
4.716,68.0,69.0,393
5.474,68.0,69.0,391
6.613,68.0,69.0,389
7.74,69.0,69.0,387
8.878,69.0,69.0,386
9.958,69.0,69.0,383
0.8,69.0,69.0,400
7.76,69.0,69.0,388
5.8500000000000005,69.0,69.0,390
5.474,68.0,69.0,391
7.391,68.0,71.0,389
6.596,68.0,71.0,388
8.106,68.0,71.0,386
9.216000000000001,68.0,71.0,384
4.312,68.0,71.0,392
7.353,69.0,71.0,387
8.832,69.0,69.0,384
9.55,69.0,69.0,382
9.6,69.0,69.0,384
0.0,69.0,71.0,399
0.401,69.0,71.0,401
0.401,68.0,71.0,401
5.865,68.0,68.0,391
5.835,68.0,68.0,389
0.0,69.0,68.0,401
1.592,69.0,69.0,398
5.474,69.0,69.0,391
6.613,69.0,69.0,389
7.353,69.0,71.0,387
1.209,69.0,71.0,403
4.323,69.0,71.0,393
5.8500000000000005,69.0,71.0,390
5.8500000000000005,69.0,71.0,390
7.76,69.0,71.0,388
4.312,69.0,69.0,392
6.208,69.0,69.0,388
6.596,69.0,69.0,388
8.47,69.0,71.0,385
9.192,69.0,71.0,383
10.668000000000001,69.0,71.0,381
1.194,69.0,71.0,398
3.537,69.0,71.0,393
5.82,69.0,71.0,388
6.948,69.0,71.0,386
6.966,69.0,69.0,387
1.206,69.0,69.0,402
7.72,69.0,69.0,386
8.064,69.0,68.0,384
8.809000000000001,69.0,68.0,383
9.168000000000001,69.0,68.0,382
9.906,69.0,71.0,381
10.612,69.0,71.0,379
6.579,69.0,71.0,387
2.758,69.0,71.0,394
4.68,69.0,71.0,390
0.0,69.0,71.0,399
5.46,69.0,71.0,390
6.192,69.0,71.0,387
1.588,69.0,71.0,397
6.596,69.0,69.0,388
5.82,69.0,69.0,388
6.93,69.0,69.0,385
8.064,69.0,71.0,384
0.0,69.0,71.0,399
1.191,69.0,71.0,397
5.057,69.0,71.0,389
6.192,69.0,71.0,387
5.82,69.0,71.0,388
6.948,69.0,71.0,386
7.68,69.0,71.0,384
8.448,69.0,71.0,384
9.144,69.0,71.0,381
10.26,69.0,71.0,380
0.0,69.0,71.0,398
0.0,69.0,71.0,399
3.528,69.0,71.0,392
4.68,69.0,71.0,390
0.0,69.0,71.0,398
1.191,69.0,71.0,397
6.579,69.0,71.0,387
7.7,69.0,71.0,385
8.426,69.0,71.0,383
3.91,69.0,71.0,391
8.426,69.0,71.0,383
9.525,69.0,71.0,381
10.612,69.0,71.0,379
7.315,69.0,71.0,385
0.0,69.0,71.0,398
3.92,69.0,71.0,392
0.0,69.0,71.0,399
5.057,69.0,71.0,389
6.192,69.0,71.0,387
0.0,69.0,71.0,399
5.446,69.0,71.0,389
5.805,69.0,71.0,387
6.948,69.0,69.0,386
8.043000000000001,69.0,69.0,383
0.0,69.0,69.0,398
0.398,69.0,71.0,398
0.0,71.0,71.0,399
5.432,71.0,71.0,388
5.446,71.0,71.0,389
2.364,69.0,71.0,394
0.802,69.0,71.0,401
6.948,69.0,71.0,386
7.68,71.0,71.0,384
8.786,71.0,71.0,382
9.88,71.0,71.0,380
0.0,69.0,71.0,397
0.0,69.0,71.0,398
3.136,69.0,73.0,392
6.93,71.0,73.0,385
0.0,71.0,73.0,398
5.82,71.0,73.0,388
6.176,71.0,73.0,386
7.68,71.0,73.0,384
8.404,71.0,73.0,382
2.364,69.0,73.0,394
7.296,69.0,73.0,384
8.426,69.0,71.0,383
9.144,71.0,71.0,381
2.0,71.0,71.0,400
0.798,71.0,73.0,399
2.358,69.0,73.0,393
1.576,69.0,73.0,394
0.0,69.0,73.0,398
5.432,73.0,73.0,388
0.8,73.0,73.0,400
0.0,73.0,71.0,398
0.792,71.0,71.0,396
5.057,71.0,71.0,389
5.82,71.0,71.0,388
7.296,71.0,71.0,384
0.397,71.0,71.0,397
0.0,71.0,73.0,398
4.279,71.0,73.0,389
5.432,71.0,73.0,388
0.0,71.0,73.0,398
1.584,71.0,73.0,396
1.584,71.0,73.0,396
1.584,71.0,73.0,396
4.68,71.0,73.0,390
2.358,71.0,73.0,393
6.192,71.0,73.0,387
7.315,71.0,73.0,385
8.404,71.0,73.0,382
9.5,71.0,73.0,380
0.0,71.0,73.0,397
5.446,71.0,73.0,389
6.545,71.0,73.0,385
6.176,71.0,73.0,386
0.398,71.0,73.0,398
3.136,71.0,73.0,392
7.66,71.0,73.0,383
8.404,71.0,73.0,382
6.5280000000000005,71.0,69.0,384
9.854000000000001,71.0,69.0,379
9.475,71.0,69.0,379
10.933,71.0,73.0,377
0.0,71.0,73.0,396
5.018,71.0,73.0,386
4.268,71.0,73.0,388
0.0,71.0,73.0,396
5.418,71.0,73.0,387
6.144,71.0,73.0,384
2.737,71.0,73.0,391
5.79,71.0,73.0,386
6.144,71.0,73.0,384
7.258,71.0,73.0,382
8.382,71.0,73.0,381
2.352,71.0,73.0,392
0.79,71.0,73.0,395
4.268,71.0,73.0,388
5.39,71.0,71.0,385
5.39,71.0,71.0,385
6.5280000000000005,71.0,71.0,384
7.239,71.0,73.0,381
6.144,73.0,73.0,384
8.36,73.0,73.0,380
9.450000000000001,73.0,73.0,378
10.528,71.0,73.0,376
0.396,71.0,73.0,396
1.96,71.0,73.0,392
2.73,71.0,73.0,390
4.257,71.0,73.0,387
0.0,71.0,73.0,396
3.89,71.0,73.0,389
5.432,71.0,73.0,388
5.775,71.0,73.0,385
6.16,71.0,73.0,385
6.144,71.0,73.0,384
1.572,71.0,73.0,393
8.022,71.0,73.0,382
9.072000000000001,71.0,73.0,378
10.179,71.0,73.0,377
4.656,71.0,73.0,388
2.737,71.0,73.0,391
3.88,71.0,73.0,388
0.0,71.0,73.0,396
5.418,71.0,73.0,387
0.0,71.0,75.0,396
0.0,71.0,75.0,396
0.0,69.0,75.0,397
1.965,69.0,73.0,393
5.031,69.0,73.0,387
5.775,71.0,73.0,385
6.912,71.0,73.0,384
0.0,71.0,73.0,396
0.0,71.0,73.0,396
3.136,71.0,73.0,392
4.268,71.0,73.0,388
0.399,71.0,73.0,399
5.031,71.0,75.0,387
0.0,71.0,75.0,396
1.576,73.0,75.0,394
2.352,73.0,73.0,392
5.031,73.0,73.0,387
5.418,71.0,73.0,387
5.79,71.0,73.0,386
4.279,71.0,73.0,389
1.194,71.0,73.0,398
0.0,71.0,75.0,396
0.396,71.0,75.0,396
1.182,71.0,75.0,394
3.12,71.0,75.0,390
0.0,71.0,75.0,397
3.89,71.0,75.0,389
5.418,71.0,75.0,387
6.5280000000000005,71.0,75.0,384
7.277,71.0,75.0,383
7.640000000000001,71.0,75.0,382
8.001,71.0,75.0,381
9.072000000000001,71.0,75.0,378
10.179,71.0,73.0,377
8.338000000000001,71.0,73.0,379
0.394,71.0,73.0,394
3.12,71.0,75.0,390
2.73,71.0,75.0,390
0.394,71.0,75.0,394
4.632,71.0,73.0,386
5.76,71.0,73.0,384
0.0,71.0,73.0,395
1.568,71.0,73.0,392
4.632,71.0,73.0,386
5.76,73.0,73.0,384
6.876,73.0,75.0,382
3.483,73.0,75.0,387
1.96,73.0,75.0,392
1.572,73.0,75.0,393
0.0,73.0,75.0,395
4.632,71.0,75.0,386
0.0,71.0,75.0,396
0.788,71.0,75.0,394
0.0,73.0,75.0,396
5.018,73.0,73.0,386
6.128,73.0,73.0,383
7.239,73.0,73.0,381
8.36,73.0,75.0,380
9.450000000000001,73.0,75.0,378
0.0,73.0,75.0,394
0.0,73.0,75.0,394
4.644,73.0,75.0,387
3.88,73.0,75.0,388
0.0,73.0,71.0,395
2.737,73.0,71.0,391
5.76,73.0,71.0,384
7.239,73.0,75.0,381
0.0,73.0,75.0,395
0.0,73.0,75.0,395
0.0,73.0,75.0,395
0.0,73.0,75.0,396
0.0,73.0,75.0,396
0.0,73.0,75.0,396
0.0,73.0,75.0,395
0.0,73.0,76.0,395
